"시점","읍·면·동별(1)",전체 산업,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도하수및폐기물처리원료재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설관리사업지원및임대서비스업,공공행정 국방 및 사회보장 행정,교육서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련서비스업,협회 및 단체 수리 및 기타 개인서비스업
"시점","읍·면·동별(1)",사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개)
"2017","전체",286571,79,18,31012,49,431,8819,80645,27227,51352,1796,3301,11388,6825,5240,705,12282,9147,7228,29027
"2017","중구",15170,21,1,685,-,7,140,6082,2154,2771,104,209,370,344,422,37,176,221,330,1096
"2017","서구",9480,23,3,498,3,12,208,3616,739,1795,27,67,240,123,181,33,339,289,174,1110
"2017","동구",13890,5,1,1227,2,9,384,4857,1156,2228,97,385,379,436,448,48,259,361,172,1436
"2017","영도구",9282,3,-,1573,2,20,266,2131,1097,1759,41,49,238,103,139,37,298,274,180,1072
"2017","부산진구",33579,2,-,2351,1,16,1077,10334,2550,6282,220,805,1450,869,744,62,1403,1196,775,3442
"2017","동래구",20304,1,3,1039,3,11,894,5228,2171,3988,76,176,911,376,388,34,1245,761,634,2365
"2017","남구",16061,-,-,975,3,18,517,3689,2116,3096,153,147,675,313,308,51,871,626,485,2018
"2017","북구",15251,-,1,617,1,16,399,3572,2308,2972,53,149,684,171,185,43,981,706,592,1801
"2017","해운대구",27430,-,2,856,5,27,811,7622,2657,5006,512,278,1579,1077,511,66,1752,1057,766,2846
"2017","사하구",22243,8,-,3339,8,53,519,5099,2538,4184,65,142,744,254,306,51,1080,786,619,2448
"2017","금정구",18008,3,-,1682,-,21,698,4521,1647,3502,80,108,757,463,251,45,921,611,628,2070
"2017","강서구",16437,8,6,6339,8,80,423,4200,818,1814,46,79,689,246,204,57,324,237,239,620
"2017","연제구",16682,-,-,722,-,11,782,3771,1447,3063,109,424,990,1141,415,48,785,601,417,1956
"2017","수영구",13443,-,-,593,1,15,588,3543,1031,2880,71,96,651,331,310,30,728,491,381,1703
"2017","사상구",28599,-,1,7352,3,73,711,9551,2026,3664,119,125,569,459,275,37,589,497,567,1981
