"시점",계,공항,항구
"시점",계,김해,부산
"2015.01",1834538,226687,50545
"2015.02",1445609,173950,44152
"2015.03",1416683,175351,36822
"2015.04",1495460,195851,46589
"2015.05",1579265,199356,54680
"2015.06",1373551,165805,36952
"2015.07",1675332,200675,45586
"2015.08",1835249,229054,58726
"2015.09",1511657,184773,40296
"2015.10",1735308,233248,51427
"2015.11",1626063,229941,48958
"2015.12",1781715,262802,46732
"2016.01",2112337,312735,52215
"2016.02",1876928,276202,54341
"2016.03",1569162,234895,45936
"2016.04",1636597,231953,45997
"2016.05",1656728,228575,46331
"2016.06",1778317,247050,45601
"2016.07",2086068,287054,54485
"2016.08",2064241,282194,52612
"2016.09",1904524,251799,45155
"2016.10",1865552,256212,53042
"2016.11",1825701,257188,52007
"2016.12",2007035,293965,51246
"2017.01",2343048,340393,58974
"2017.02",2231269,327252,67316
"2017.03",1940542,288384,55985
"2017.04",2003943,271919,66503
"2017.05",2003834,271320,65276
"2017.06",2098126,287950,57440
"2017.07",2389447,322647,62795
"2017.08",2385301,324089,57500
"2017.09",2236500,286387,49628
"2017.10",2231748,310958,52704
"2017.11",2227747,323474,58196
"2017.12",2404942,359417,56206
"2018.01",2866780,416673,65294
"2018.02",2311009,337662,63938
"2018.03",2252565,336047,51114
"2018.04",2230200,319401,68418
"2018.05",2331565,324254,57935
"2018.06",2323986,323154,54290
"2018.07",2495297,342418,56159
"2018.08",2519860,349430,64656
"2018.09",2225756,295922,50863
"2018.10",2347876,331933,56226
"2018.11",2295810,326243,62874
"2018.12",2495279,353122,60818
"2019.01",2912331,403835,60278
"2019.02",2617946,366124,64564
"2019.03",2334153,331861,56859
"2019.04",2246417,308571,58479
"2019.05",2401204,317227,58426
"2019.06",2495798,333483,50123
"2019.07",2642585,348276,37189
"2019.08",2427634,317645,19089
"2019.09",2049830,257611,10481
"2019.10",2153847,276197,11691
"2019.11",2090192,275215,14319
"2019.12",2342310,317759,17234
"2020.01",2513030,333111,18930
"2020.02",1046779,112105,11533
"2020.03",143366,7700,4225
"2020.04",31425,37,3510
"2020.05",37802,9,3800
"2020.06",48353,21,3419
"2020.07",65936,46,3669
"2020.08",88888,0,3555
"2020.09",76798,0,3487
"2020.10",71970,103,3640
"2020.11",70686,129,3471
"2020.12",80973,150,3238
"2021.01",86143,116,3271
"2021.02",68213,63,3322
"2021.03",73999,82,3273
"2021.04",71302,86,3391
"2021.05",75416,1391,3435
"2021.06",79446,630,3341
"2021.07",101963,870,3315
"2021.08",137712,420,3228
"2021.09",116615,611,3038
"2021.10",124399,671,3281
"2021.11",147907,591,3566
"2021.12",139426,820,3072
"2022.01",147434,938,3279
"2022.02",112722,855,3179
"2022.03",145503,986,3418
"2022.04",215246,1823,3158
"2022.05",315945,3418,3231
"2022.06",412798,7835,3105
"2022.07",674022,42841,3326
"2022.08",702153,47261,3533
"2022.09",619954,37030,2682
"2022.10",773480,71579,3494
"2022.11",1041431,126419,3687
"2022.12",1393343,192723,5760
